stID,dateID,Swipes
1,2,7365
1,3,11935
1,4,13383
1,5,12746
1,6,13128
1,7,13544428
1,8,9024
1,9,7215
1,10,11009
1,11,11499
1,12,11804
1,13,12032
1,14,10736
1,15,8838
1,16,7131
1,17,11006
1,18,11877
1,19,13069
1,20,13148
1,21,13169
1,22,9718
1,23,7849
1,24,12088
1,25,12808
1,26,13061
1,27,12994
1,28,12565
2,1,8944
2,2,6743
2,3,15065
2,4,15955
2,5,16214
2,6,16219
2,7,16910
2,8,7958
2,9,6565
2,10,14147
2,11,14745
2,12,14881
2,13,15645
2,14,13795
2,15,7731
2,16,6131
2,17,13504
2,18,15124
2,19,15924
2,20,16230
2,21,16197
2,22,10197
2,23,7126
2,24,14860
2,25,15777
2,26,15095
2,27,15668
2,28,14806
3,1,4943
3,2,4412
3,3,6844
3,4,6763
3,5,7172
3,6,6794
3,7,7263
3,8,5021
3,9,4216
3,10,6362
3,11,6537
3,12,6445
3,13,6517
3,14,6349
3,15,4954
3,16,4451
3,17,6020
3,18,6498
3,19,7106
3,20,7093
3,21,7344
3,22,5521
3,23,4356
3,24,6712
3,25,6682
3,26,6995
3,27,7245
3,28,7472
4,1,8725
4,2,7197
4,3,14534
4,4,14922
4,5,15335
4,6,14683
4,7,14128
4,8,8940
4,9,7358
4,10,11392
4,11,11578
4,12,11731
4,13,12117
4,14,10765
4,15,7709
4,16,6569
4,17,11186
4,18,11747
4,19,15166
4,20,14761
4,21,14182
4,22,8644
4,23,6988
4,24,14417
4,25,14714
4,26,15016
4,27,15225
4,28,14279
5,1,7886
5,2,6520
5,3,10632
5,4,10494
5,5,10787
5,6,10408
5,7,11015
5,8,7723
5,9,6439
5,10,9785
5,11,10045
5,12,9907
5,13,10028
5,14,9276
5,15,7400
5,16,6200
5,17,9478
5,18,10095
5,19,10760
5,20,10936
5,21,11034
5,22,7889
5,23,6522
5,24,10357
5,25,10066
5,26,10873
5,27,10928
5,28,11154
6,1,4217
6,2,3573
6,3,7349
6,4,7854
6,5,7954
6,6,8009
6,7,8142
6,8,4294
6,9,3051
6,10,6744
6,11,6811
6,12,7087
6,13,7523
6,14,6302
6,15,3098
6,16,1899
6,17,6438
6,18,7295
6,19,8305
6,20,7890
6,21,8191
6,22,3975
6,23,2673
6,24,7508
6,25,8210
6,26,8088
6,27,8207
6,28,8016
7,1,7886
7,2,6692
7,3,11494
7,4,11248
7,5,11936
7,6,10849
7,7,11526
7,8,7747
7,9,6308
7,10,10166
7,11,9984
7,12,9783
7,13,10177
7,14,8860
7,15,7551
7,16,6023
7,17,9482
7,18,10023
7,19,11532
7,20,11356
7,21,11609
7,22,7775
7,23,6628
7,24,11313
7,25,10680
7,26,11464
7,27,11553
7,28,11523
8,1,4895
8,2,4430
8,3,8308
8,4,8487
8,5,8509
8,6,8361
8,7,8311
8,8,5297
8,9,4573
8,10,6970
8,11,7064
8,12,6846
8,13,7005
8,14,6229
8,15,4905
8,16,4170
8,17,6649
8,18,6987
8,19,8422
8,20,8181
8,21,8340
8,22,5417
8,23,4678
8,24,8277
8,25,7808
8,26,8418
8,27,8493
8,28,8387
9,1,4524
9,2,3612
9,3,6279
9,4,6161
9,5,6633
9,6,6008
9,7,6498
9,8,4571
9,9,3740
9,10,5600
9,11,5706
9,12,5529
9,13,5631
9,14,4910
9,15,4176
9,16,3433
9,17,5449
9,18,5794
9,19,6380
9,20,6359
9,21,6668
9,22,4610
9,23,3731
9,24,6224
9,25,5911
9,26,6349
9,27,6559
9,28,6606
10,1,1191
10,2,957
10,3,1938
10,4,1950
10,5,2135
10,6,1931
10,7,1949
10,8,1080
10,9,972
10,10,1709
10,11,1742
10,12,1720
10,13,1701
10,14,1560
10,15,1231
10,16,785
10,17,1655
10,18,1852
10,19,1957
10,20,2028
10,21,1950
10,22,1164
10,23,974
10,24,1943
10,25,2048
10,26,1998
10,27,1933
10,28,2058
11,1,6165
11,2,5124
11,3,13882
11,4,14282
11,5,14314
11,6,14848
11,7,14359
11,8,6636
11,9,5479
11,10,12810
11,11,12873
11,12,3421395
11,13,13669
11,14,11153
11,15,4812
11,16,3720
11,17,13072
11,18,14283
11,19,15023
11,20,14596
11,21,14187
11,22,6460
11,23,4517
11,24,13815
11,25,15674
11,26,14745
11,27,14499
11,28,13918
12,1,11273
12,2,11083
12,3,20934
12,4,21173
12,5,21780
12,6,21701
12,7,22466
12,8,10980
12,9,10241
12,10,20600
12,11,20951
12,12,22130
12,13,21621
12,14,17024
12,15,10502
12,16,9381
12,17,19230
12,18,21456
12,19,23328
12,20,22363
12,21,27430
12,22,12770
12,23,8991
12,24,21752
12,25,22361
12,26,23438
12,27,23105
12,28,22828
13,1,12634
13,2,9976
13,3,20359
13,4,22104
13,5,21359
13,6,23794
13,7,22219
13,8,11885
13,9,9725
13,10,17196
13,11,17231
13,12,18554
13,13,18912
13,14,16656
13,15,11361
13,16,8702
13,17,16423
13,18,18588
13,19,22644
13,20,22278
13,21,22362
13,22,15352
13,23,10380
13,24,20708
13,25,23824
13,26,22998
13,27,22139
13,28,20782
14,1,10043
14,2,9306
14,3,14265
14,4,15291
14,5,15326
14,6,15642
14,7,15769
14,8,10503
14,9,9218
14,10,13672
14,11,13958
14,12,14525
14,13,15371
14,14,13528
14,15,11808
14,16,9554
14,17,13148
14,18,14513
14,19,15717
14,20,15969
14,21,361704
14,22,13472
14,23,10547
14,24,14391
14,25,16674150
14,26,15575
14,27,15191
14,28,15408
15,1,11019
15,2,9893
15,3,17648
15,4,18283
15,5,18793
15,6,18647
15,7,18566
15,8,11296
15,9,9465
15,10,15453
15,11,15527
15,12,16381
15,13,17140
15,14,14940
15,15,11371
15,16,9438
15,17,15233
15,18,16695
15,19,19022
15,20,18907
15,21,18861
15,22,13266
15,23,10640
15,24,18125
15,25,16685
15,26,19246
15,27,18708
15,28,18227
16,1,2370
16,2,2069
16,3,5706
16,4,5725
16,5,5856
16,6,6033
16,7,5887
16,8,2602
16,9,2015
16,10,5641
16,11,5462
16,12,5659
16,13,5855
16,14,4653
16,15,1806
16,16,1415
16,17,5157
16,18,5757
16,19,5952
16,20,6064
16,21,6077
16,22,2297
16,23,1797
16,24,5665
16,25,6392
16,26,6152
16,27,6212
16,28,5799
17,1,8627
17,2,8799
17,3,12982
17,4,12167
17,5,13360
17,6,13109
17,7,12899
17,8,9404
17,9,8655
17,10,12755
17,11,12346
17,12,13080
17,13,13302
17,14,11779
17,15,7880
17,16,6327
17,17,11568
17,18,12046
17,19,12594
17,20,13379
17,21,13383
17,22,8196
17,23,7374
17,24,12136
17,25,11533
17,26,12523
17,27,13243
17,28,12822
18,1,4778
18,2,4200
18,3,7139
18,4,6832
18,5,7106
18,6,6663
18,7,7092
18,8,4911
18,9,4119
18,10,6232
18,11,6437
18,12,6101
18,13,6272
18,14,5739
18,15,4733
18,16,3901
18,17,6111
18,18,6195
18,19,6974
18,20,7075
18,21,7179
18,22,4879
18,23,4195
18,24,6928
18,25,6213
18,26,6977
18,27,7266
18,28,7132
19,1,4242
19,2,3678
19,3,14064
19,4,14773
19,5,15127
19,6,15163
19,7,14668
19,8,5126
19,9,3722
19,10,13517
19,11,13857
19,12,14436
19,13,14332
19,14,11384
19,15,3319
19,16,2275
19,17,12870
19,18,14571
19,19,15387
19,20,15189
19,21,14836
19,22,3757
19,23,2794
19,24,14282
19,25,15988
19,26,15027
19,27,15216
19,28,13972
20,1,4224
20,2,4000
20,3,9175
20,4,9553
20,5,9589
20,6,9174
20,7,9379
20,8,5790
20,9,4599
20,10,9214
20,11,9203
20,12,9247
20,13,10046
20,14,8184
20,15,2
20,16,3
20,17,8080
20,18,8958
20,19,9461
20,20,10062
20,21,9946
20,22,4
20,23,8
20,24,9017
20,25,9172
20,26,9504
20,27,9990
20,28,9850
21,1,2781
21,2,2315
21,3,33476
21,4,10511
21,5,9907
21,6,10179
21,7,8822
21,8,2710
21,9,2264
21,10,8822
21,11,9393
21,12,8269
21,13,8632
21,14,7154
21,15,2358
21,16,2076
21,17,8620
21,18,9255
21,19,9177
21,20,8960
21,21,8723
21,22,3278
21,23,2321
21,24,9430
21,25,9841
21,26,8938
21,27,9777
21,28,8569
22,1,24829
22,2,23099
22,3,35923
22,4,36513
22,5,37867
22,6,35653
22,7,37035
22,8,24106
22,9,22177
22,10,33150
22,11,33156
22,12,33727
22,13,35575
22,14,31717
22,15,26380
22,16,22414
22,17,31389
22,18,34472
22,19,37147
22,20,37288
22,21,38075
22,22,29740
22,23,25642
22,24,35605
22,25,35176
22,26,37428
22,27,37663
22,28,38250
23,1,23583
23,2,20346
23,3,35888
23,4,36722
23,5,37865
23,6,35433
23,7,36552
23,8,22761
23,9,19022
23,10,31399
23,11,30691
23,12,32324
23,13,33926
23,14,29339
23,15,22896
23,16,18817
23,17,30290
23,18,32427
23,19,36652
23,20,37070
23,21,37532
23,22,25336
23,23,22169
23,24,35359
23,25,35673
23,26,37162
23,27,37570
23,28,37267
24,1,8261
24,2,7028
24,3,22123
24,4,22232
24,5,22860
24,6,21758
24,7,20772
24,8,7158
24,9,5650
24,10,16177
24,11,16655
24,12,16362
24,13,17063
24,14,12753
24,15,8082
24,16,6127
24,17,15207
24,18,17607
24,19,22159
24,20,22113
24,21,21162
24,22,10314
24,23,8184
24,24,22306
24,25,21496
24,26,22683
24,27,22932
24,28,21289
25,1,44102
25,2,39892
25,3,67764
25,4,67292
25,5,73461
25,6,66731491
25,7,71893
25,8,44404
25,9,39241
25,10,70463
25,11,71674
25,12,73586
25,13,74399
25,14,66024
25,15,46393
25,16,39614
25,17,67440
25,18,70499
25,19,73627
25,20,70557
25,21,73082
25,22,49330
25,23,38223
25,24,67588
25,25,69045
25,26,70446
25,27,71705
25,28,70496
26,1,7582
26,2,7063
26,3,13041
26,4,13265
26,5,14292
26,6,14080
26,7,13302
26,8,8241
26,9,7726
26,10,12621
26,11,13748
26,12,12832
26,13,13326
26,14,11554
26,15,8440
26,16,7751
26,17,11299
26,18,12921
26,19,13962
26,20,13893
26,21,14452
26,22,9643
26,23,7160
26,24,13082
26,25,14050
26,26,14061
26,27,14354
26,28,1569289
27,1,4882
27,2,3952
27,3,12361
27,4,13019
27,5,12980
27,6,12589
27,7,12419
27,8,5830
27,9,4553
27,10,11596
27,11,11929
27,12,12165
27,13,12380
27,14,10664
27,15,4507
27,16,3563
27,17,11431
27,18,12597
27,19,13037
27,20,12780
27,21,12008
27,22,4983
27,23,4206
27,24,12161
27,25,13318
27,26,12855
27,27,12808
27,28,12142
28,1,6156
28,2,7182
28,3,14517
28,4,13539
28,5,15658
28,6,13741
28,7,13788
28,8,8483
28,9,7245
28,10,15633
28,11,16265
28,12,14623
28,13,16047
28,14,13594
28,15,6
28,16,30
28,17,13739
28,18,14761
28,19,14493
28,20,14808
28,21,13997
28,22,6
28,23,6
28,24,14387
28,25,13655
28,26,13928
28,27,15145
28,28,15566
29,1,7856
29,2,6819
29,3,11346
29,4,11224
29,5,11776
29,6,11007
29,7,11571
29,8,7258
29,9,6578
29,10,10100
29,11,10275
29,12,10590
29,13,10462
29,14,9797
29,15,7731
29,16,7426
29,17,9675
29,18,10404
29,19,11552
29,20,11434
29,21,11780
29,22,8445
29,23,7480
29,24,11230
29,25,11295
29,26,11850
29,27,11926
29,28,11812
30,1,10480
30,2,8815
30,3,14815
30,4,14504
30,5,15651
30,6,14079
30,7,15354
30,8,9508
30,9,8495
30,10,13508
30,11,13831
30,12,13913
30,13,13938
30,14,13063
30,15,10164
30,16,8753
30,17,13259
30,18,13853
30,19,15732
30,20,14825
30,21,15757
30,22,10206
30,23,8867
30,24,15216
30,25,14569
30,26,15280
30,27,15626
30,28,15895
31,1,8762
31,2,7667
31,3,14283
31,4,14336
31,5,14873
31,6,14184
31,7,14690
31,8,8544
31,9,7367
31,10,12865
31,11,13236
31,12,13233
31,13,13205
31,14,12403
31,15,8465
31,16,7621
31,17,12537
31,18,13374
31,19,14538
31,20,14361
31,21,14360
31,22,9049
31,23,7587
31,24,14300
31,25,14330
31,26,14498
31,27,14751
31,28,14661
32,1,5683
32,2,5011
32,3,8813
32,4,8756
32,5,9340
32,6,8727
32,7,9111
32,8,5443
32,9,4816
32,10,8137
32,11,8372
32,12,8207
32,13,8307
32,14,7611
32,15,6154
32,16,5833
32,17,7737
32,18,8377
32,19,9249
32,20,9277
32,21,9261
32,22,6475
32,23,5732
32,24,8915
32,25,8923
32,26,9252
32,27,9467
32,28,9510
33,1,18044
33,2,16324
33,3,61842
33,4,64071
33,5,62689
33,6,64445
33,7,60363
33,8,24601
33,9,21626
33,10,59926
33,11,59993
33,12,59226
33,13,63193
33,14,52349
33,15,16901
33,16,12559
33,17,55764
33,18,60134
33,19,62564
33,20,61822
33,21,60753
33,22,16363
33,23,13904
33,24,59790
33,25,65872
33,26,62220
33,27,62488
33,28,60152
34,1,1325
34,2,1278
34,3,3479
34,4,3436
34,5,3802
34,6,3250
34,7,3371
34,8,174
34,9,1
34,10,3413
34,11,3389
34,12,3465
34,13,3696
34,14,2800
34,15,1650
34,16,1140
34,17,3238
34,18,3725
34,19,3796
34,20,3727
34,21,3459
34,22,1548
34,23,1404
34,24,3682
34,25,3482
34,26,3641
34,27,3730
34,28,3558
35,1,1962
35,2,1552
35,3,3525
35,4,3412
35,5,3619
35,6,3430
35,7,3606
35,8,2007
35,9,1480
35,10,3188
35,11,3242
35,12,3220
35,13,3285
35,14,2864
35,15,1810
35,16,1540
35,17,3019
35,18,3246
35,19,3658
35,20,3563
35,21,3742
35,22,1946
35,23,1535
35,24,3363
35,25,3365
35,26,3518
35,27,3544
35,28,3587
36,1,2198
36,2,1748
36,3,3942
36,4,3994
36,5,3995
36,6,3936
36,7,4021
36,8,2194
36,9,1750
36,10,3301
36,11,3420
36,12,3384
36,13,3384
36,14,3028
36,15,2073
36,16,1697
36,17,3211
36,18,3442
36,19,4102
36,20,4028
36,21,4172
