 59 ST,  456NQRW,  03/25/2017, 18277, 
 181 ST,  A,  03/25/2017, 7013, 
 181 ST,  A,  03/25/2017, 7013, 
 DYCKMAN ST,  A,  03/25/2017, 4533, 
 CHAMBERS ST,  ACE23,  03/25/2017, 7205, 
 14 ST,  ACEL,  03/25/2017, 10402, 
 103 ST,  BC,  03/25/2017, 2977, 
 103 ST,  BC,  03/25/2017, 2977, 
 72 ST,  BC,  03/25/2017, 4891, 
 86 ST,  BC,  03/25/2017, 4516, 
 96 ST,  BC,  03/25/2017, 4080, 
 CATHEDRAL PKWY,  BC,  03/25/2017, 4681, 
 155 ST,  C,  03/25/2017, 1942, 
 6 AV,  FLM123,  03/25/2017, 3890, 
 23 ST,  FM,  03/25/2017, 5372, 
 CANAL ST,  JNQRZ6W,  03/25/2017, 36874, 
 1 AV,  L,  03/25/2017, 13949, 
 57 ST-7 AV,  NQRW,  03/25/2017, 18119, 
 23 ST,  NRW,  03/25/2017, 14002, 
 RECTOR ST,  NRW,  03/25/2017, 3704, 
 59 ST,  456NQRW,  03/26/2017, 13049, 
 181 ST,  A,  03/26/2017, 5541, 
 181 ST,  A,  03/26/2017, 5541, 
 DYCKMAN ST,  A,  03/26/2017, 3225, 
 CHAMBERS ST,  ACE23,  03/26/2017, 4619, 
 14 ST,  ACEL,  03/26/2017, 7515, 
 103 ST,  BC,  03/26/2017, 2058, 
 103 ST,  BC,  03/26/2017, 2058, 
 72 ST,  BC,  03/26/2017, 3454, 
 86 ST,  BC,  03/26/2017, 3717, 
 96 ST,  BC,  03/26/2017, 3065, 
 CATHEDRAL PKWY,  BC,  03/26/2017, 3518, 
 155 ST,  C,  03/26/2017, 1490, 
 6 AV,  FLM123,  03/26/2017, 2632, 
 23 ST,  FM,  03/26/2017, 3684, 
 CANAL ST,  JNQRZ6W,  03/26/2017, 28004, 
 1 AV,  L,  03/26/2017, 11359, 
 57 ST-7 AV,  NQRW,  03/26/2017, 15046, 
 23 ST,  NRW,  03/26/2017, 10103, 
 RECTOR ST,  NRW,  03/26/2017, 2513, 
 59 ST,  456NQRW,  03/27/2017, 36089, 
 181 ST,  A,  03/27/2017, 10974, 
 181 ST,  A,  03/27/2017, 10974, 
 DYCKMAN ST,  A,  03/27/2017, 6433, 
 CHAMBERS ST,  ACE23,  03/27/2017, 30384, 
 14 ST,  ACEL,  03/27/2017, 18215, 
 103 ST,  BC,  03/27/2017, 4422, 
 103 ST,  BC,  03/27/2017, 4422, 
 72 ST,  BC,  03/27/2017, 7379, 
 86 ST,  BC,  03/27/2017, 9503, 
 96 ST,  BC,  03/27/2017, 8698, 
 CATHEDRAL PKWY,  BC,  03/27/2017, 7093, 
 155 ST,  C,  03/27/2017, 2760, 
 6 AV,  FLM123,  03/27/2017, 4692, 
 23 ST,  FM,  03/27/2017, 25832, 
 CANAL ST,  JNQRZ6W,  03/27/2017, 40908, 
 1 AV,  L,  03/27/2017, 18999, 
 57 ST-7 AV,  NQRW,  03/27/2017, 28461, 
 23 ST,  NRW,  03/27/2017, 21263, 
 RECTOR ST,  NRW,  03/27/2017, 6443, 
 59 ST,  456NQRW,  03/28/2017, 38653, 
 181 ST,  A,  03/28/2017, 11199, 
 181 ST,  A,  03/28/2017, 11199, 
 DYCKMAN ST,  A,  03/28/2017, 6706, 
 CHAMBERS ST,  ACE23,  03/28/2017, 32440, 
 14 ST,  ACEL,  03/28/2017, 20369, 
 103 ST,  BC,  03/28/2017, 4365, 
 103 ST,  BC,  03/28/2017, 4365, 
 72 ST,  BC,  03/28/2017, 7015, 
 86 ST,  BC,  03/28/2017, 9423, 
 96 ST,  BC,  03/28/2017, 8771, 
 CATHEDRAL PKWY,  BC,  03/28/2017, 6963, 
 155 ST,  C,  03/28/2017, 2797, 
 6 AV,  FLM123,  03/28/2017, 4903, 
 23 ST,  FM,  03/28/2017, 27893, 
 CANAL ST,  JNQRZ6W,  03/28/2017, 42139, 
 1 AV,  L,  03/28/2017, 19348, 
 57 ST-7 AV,  NQRW,  03/28/2017, 30033, 
 23 ST,  NRW,  03/28/2017, 23767, 
 RECTOR ST,  NRW,  03/28/2017, 6767, 
 59 ST,  456NQRW,  03/29/2017, 39466, 
 181 ST,  A,  03/29/2017, 11694, 
 181 ST,  A,  03/29/2017, 11694, 
 DYCKMAN ST,  A,  03/29/2017, 7020, 
 CHAMBERS ST,  ACE23,  03/29/2017, 32077, 
 14 ST,  ACEL,  03/29/2017, 19156, 
 103 ST,  BC,  03/29/2017, 4718, 
 103 ST,  BC,  03/29/2017, 4718, 
 72 ST,  BC,  03/29/2017, 8154, 
 86 ST,  BC,  03/29/2017, 10099, 
 96 ST,  BC,  03/29/2017, 9403, 
 CATHEDRAL PKWY,  BC,  03/29/2017, 7551, 
 155 ST,  C,  03/29/2017, 2817, 
 6 AV,  FLM123,  03/29/2017, 5026, 
 23 ST,  FM,  03/29/2017, 27607, 
 CANAL ST,  JNQRZ6W,  03/29/2017, 44677, 
 1 AV,  L,  03/29/2017, 19715, 
 57 ST-7 AV,  NQRW,  03/29/2017, 30868, 
 23 ST,  NRW,  03/29/2017, 23728, 
 RECTOR ST,  NRW,  03/29/2017, 7057, 
 59 ST,  456NQRW,  03/30/2017, 39823, 
 181 ST,  A,  03/30/2017, 11670, 
 181 ST,  A,  03/30/2017, 11670, 
 DYCKMAN ST,  A,  03/30/2017, 7024, 
 CHAMBERS ST,  ACE23,  03/30/2017, 32203, 
 14 ST,  ACEL,  03/30/2017, 20056, 
 103 ST,  BC,  03/30/2017, 4783, 
 103 ST,  BC,  03/30/2017, 4783, 
 72 ST,  BC,  03/30/2017, 8065, 
 86 ST,  BC,  03/30/2017, 10177, 
 96 ST,  BC,  03/30/2017, 9322, 
 CATHEDRAL PKWY,  BC,  03/30/2017, 7563, 
 155 ST,  C,  03/30/2017, 2847, 
 6 AV,  FLM123,  03/30/2017, 4987, 
 23 ST,  FM,  03/30/2017, 28077, 
 CANAL ST,  JNQRZ6W,  03/30/2017, 44512, 
 1 AV,  L,  03/30/2017, 19907, 
 57 ST-7 AV,  NQRW,  03/30/2017, 30893, 
 23 ST,  NRW,  03/30/2017, 23549, 
 RECTOR ST,  NRW,  03/30/2017, 6873, 
 59 ST,  456NQRW,  03/31/2017, 37390, 
 181 ST,  A,  03/31/2017, 10874, 
 181 ST,  A,  03/31/2017, 10874, 
 DYCKMAN ST,  A,  03/31/2017, 6579, 
 CHAMBERS ST,  ACE23,  03/31/2017, 28269, 
 14 ST,  ACEL,  03/31/2017, 21418, 
 103 ST,  BC,  03/31/2017, 4580, 
 103 ST,  BC,  03/31/2017, 4580, 
 72 ST,  BC,  03/31/2017, 7075, 
 86 ST,  BC,  03/31/2017, 9224, 
 96 ST,  BC,  03/31/2017, 8364, 
 CATHEDRAL PKWY,  BC,  03/31/2017, 7154, 
 155 ST,  C,  03/31/2017, 2833, 
 6 AV,  FLM123,  03/31/2017, 5274, 
 23 ST,  FM,  03/31/2017, 26483, 
 CANAL ST,  JNQRZ6W,  03/31/2017, 40459, 
 1 AV,  L,  03/31/2017, 20652, 
 57 ST-7 AV,  NQRW,  03/31/2017, 29006, 
 23 ST,  NRW,  03/31/2017, 23113, 
 RECTOR ST,  NRW,  03/31/2017, 6164, 
 59 ST,  456NQRW,  04/01/2017, 21552, 
 181 ST,  A,  04/01/2017, 6908, 
 181 ST,  A,  04/01/2017, 6908, 
 DYCKMAN ST,  A,  04/01/2017, 4340, 
 CHAMBERS ST,  ACE23,  04/01/2017, 9705, 
 14 ST,  ACEL,  04/01/2017, 9770, 
 103 ST,  BC,  04/01/2017, 2571, 
 103 ST,  BC,  04/01/2017, 2571, 
 72 ST,  BC,  04/01/2017, 4695, 
 86 ST,  BC,  04/01/2017, 4183, 
 96 ST,  BC,  04/01/2017, 3662, 
 CATHEDRAL PKWY,  BC,  04/01/2017, 4369, 
 155 ST,  C,  04/01/2017, 1995, 
 6 AV,  FLM123,  04/01/2017, 3846, 
 23 ST,  FM,  04/01/2017, 10329, 
 CANAL ST,  JNQRZ6W,  04/01/2017, 41707, 
 1 AV,  L,  04/01/2017, 13630, 
 57 ST-7 AV,  NQRW,  04/01/2017, 19165, 
 23 ST,  NRW,  04/01/2017, 12299, 
 RECTOR ST,  NRW,  04/01/2017, 5338, 
 59 ST,  456NQRW,  04/02/2017, 15075, 
 181 ST,  A,  04/02/2017, 5752, 
 181 ST,  A,  04/02/2017, 5752, 
 DYCKMAN ST,  A,  04/02/2017, 3679, 
 CHAMBERS ST,  ACE23,  04/02/2017, 7992, 
 14 ST,  ACEL,  04/02/2017, 7893, 
 103 ST,  BC,  04/02/2017, 2246, 
 103 ST,  BC,  04/02/2017, 2246, 
 72 ST,  BC,  04/02/2017, 5426, 
 86 ST,  BC,  04/02/2017, 4059, 
 96 ST,  BC,  04/02/2017, 3576, 
 CATHEDRAL PKWY,  BC,  04/02/2017, 3773, 
 155 ST,  C,  04/02/2017, 1507, 
 6 AV,  FLM123,  04/02/2017, 3028, 
 23 ST,  FM,  04/02/2017, 8141, 
 CANAL ST,  JNQRZ6W,  04/02/2017, 36997, 
 1 AV,  L,  04/02/2017, 12219, 
 57 ST-7 AV,  NQRW,  04/02/2017, 17476, 
 23 ST,  NRW,  04/02/2017, 9738, 
 RECTOR ST,  NRW,  04/02/2017, 4259, 
 59 ST,  456NQRW,  04/03/2017, 38692, 
 181 ST,  A,  04/03/2017, 11144, 
 181 ST,  A,  04/03/2017, 11144, 
 DYCKMAN ST,  A,  04/03/2017, 6681, 
 CHAMBERS ST,  ACE23,  04/03/2017, 31771, 
 14 ST,  ACEL,  04/03/2017, 18575, 
 103 ST,  BC,  04/03/2017, 4656, 
 103 ST,  BC,  04/03/2017, 4656, 
 72 ST,  BC,  04/03/2017, 7982, 
 86 ST,  BC,  04/03/2017, 10315, 
 96 ST,  BC,  04/03/2017, 9473, 
 CATHEDRAL PKWY,  BC,  04/03/2017, 7327, 
 155 ST,  C,  04/03/2017, 2764, 
 6 AV,  FLM123,  04/03/2017, 5246, 
 23 ST,  FM,  04/03/2017, 27281, 
 CANAL ST,  JNQRZ6W,  04/03/2017, 43729, 
 1 AV,  L,  04/03/2017, 18687, 
 57 ST-7 AV,  NQRW,  04/03/2017, 29023, 
 23 ST,  NRW,  04/03/2017, 22104, 
 RECTOR ST,  NRW,  04/03/2017, 6655, 
 59 ST,  456NQRW,  04/04/2017, 38812, 
 181 ST,  A,  04/04/2017, 11457, 
 181 ST,  A,  04/04/2017, 11457, 
 DYCKMAN ST,  A,  04/04/2017, 6810, 
 CHAMBERS ST,  ACE23,  04/04/2017, 32259, 
 14 ST,  ACEL,  04/04/2017, 18914, 
 103 ST,  BC,  04/04/2017, 4546, 
 103 ST,  BC,  04/04/2017, 4546, 
 72 ST,  BC,  04/04/2017, 7857, 
 86 ST,  BC,  04/04/2017, 10828, 
 96 ST,  BC,  04/04/2017, 9588, 
 CATHEDRAL PKWY,  BC,  04/04/2017, 7141, 
 155 ST,  C,  04/04/2017, 2774, 
 6 AV,  FLM123,  04/04/2017, 5052, 
 23 ST,  FM,  04/04/2017, 27763, 
 CANAL ST,  JNQRZ6W,  04/04/2017, 41807, 
 1 AV,  L,  04/04/2017, 19266, 
 57 ST-7 AV,  NQRW,  04/04/2017, 30213, 
 23 ST,  NRW,  04/04/2017, 22879, 
 RECTOR ST,  NRW,  04/04/2017, 6602, 
 59 ST,  456NQRW,  04/05/2017, 41052, 
 181 ST,  A,  04/05/2017, 11792, 
 181 ST,  A,  04/05/2017, 11792, 
 DYCKMAN ST,  A,  04/05/2017, 7155, 
 CHAMBERS ST,  ACE23,  04/05/2017, 32644, 
 14 ST,  ACEL,  04/05/2017, 19084, 
 103 ST,  BC,  04/05/2017, 4779, 
 103 ST,  BC,  04/05/2017, 4779, 
 72 ST,  BC,  04/05/2017, 8870, 
 86 ST,  BC,  04/05/2017, 11300, 
 96 ST,  BC,  04/05/2017, 10051, 
 CATHEDRAL PKWY,  BC,  04/05/2017, 7660, 
 155 ST,  C,  04/05/2017, 2938, 
 6 AV,  FLM123,  04/05/2017, 5298, 
 23 ST,  FM,  04/05/2017, 28421, 
 CANAL ST,  JNQRZ6W,  04/05/2017, 45356, 
 1 AV,  L,  04/05/2017, 19354, 
 57 ST-7 AV,  NQRW,  04/05/2017, 31610, 
 23 ST,  NRW,  04/05/2017, 23836, 
 RECTOR ST,  NRW,  04/05/2017, 7091, 
 59 ST,  456NQRW,  04/06/2017, 39107, 
 181 ST,  A,  04/06/2017, 11279, 
 181 ST,  A,  04/06/2017, 11279, 
 DYCKMAN ST,  A,  04/06/2017, 6756, 
 CHAMBERS ST,  ACE23,  04/06/2017, 31216, 
 14 ST,  ACEL,  04/06/2017, 20051, 
 103 ST,  BC,  04/06/2017, 4632, 
 103 ST,  BC,  04/06/2017, 4632, 
 72 ST,  BC,  04/06/2017, 7981, 
 86 ST,  BC,  04/06/2017, 10738, 
 96 ST,  BC,  04/06/2017, 9495, 
 CATHEDRAL PKWY,  BC,  04/06/2017, 7081, 
 155 ST,  C,  04/06/2017, 2812, 
 6 AV,  FLM123,  04/06/2017, 5386, 
 23 ST,  FM,  04/06/2017, 27240, 
 CANAL ST,  JNQRZ6W,  04/06/2017, 40095, 
 1 AV,  L,  04/06/2017, 20092, 
 57 ST-7 AV,  NQRW,  04/06/2017, 30255, 
 23 ST,  NRW,  04/06/2017, 22894, 
 RECTOR ST,  NRW,  04/06/2017, 6550, 
 59 ST,  456NQRW,  04/07/2017, 39703, 
 181 ST,  A,  04/07/2017, 11202, 
 181 ST,  A,  04/07/2017, 11202, 
 DYCKMAN ST,  A,  04/07/2017, 7032, 
 CHAMBERS ST,  ACE23,  04/07/2017, 29060, 
 14 ST,  ACEL,  04/07/2017, 19645, 
 103 ST,  BC,  04/07/2017, 4651, 
 103 ST,  BC,  04/07/2017, 4651, 
 72 ST,  BC,  04/07/2017, 8079, 
 86 ST,  BC,  04/07/2017, 10355, 
 96 ST,  BC,  04/07/2017, 9314, 
 CATHEDRAL PKWY,  BC,  04/07/2017, 7724, 
 155 ST,  C,  04/07/2017, 2828, 
 6 AV,  FLM123,  04/07/2017, 5219, 
 23 ST,  FM,  04/07/2017, 26976, 
 CANAL ST,  JNQRZ6W,  04/07/2017, 46513, 
 1 AV,  L,  04/07/2017, 20185, 
 57 ST-7 AV,  NQRW,  04/07/2017, 30184, 
 23 ST,  NRW,  04/07/2017, 22325, 
 RECTOR ST,  NRW,  04/07/2017, 6555, 
 59 ST,  456NQRW,  04/08/2017, 21193, 
 181 ST,  A,  04/08/2017, 6963, 
 181 ST,  A,  04/08/2017, 6963, 
 DYCKMAN ST,  A,  04/08/2017, 4519, 
 CHAMBERS ST,  ACE23,  04/08/2017, 10238, 
 14 ST,  ACEL,  04/08/2017, 11448, 
 103 ST,  BC,  04/08/2017, 2883, 
 103 ST,  BC,  04/08/2017, 2883, 
 72 ST,  BC,  04/08/2017, 5608, 
 86 ST,  BC,  04/08/2017, 4679, 
 96 ST,  BC,  04/08/2017, 4195, 
 CATHEDRAL PKWY,  BC,  04/08/2017, 4752, 
 155 ST,  C,  04/08/2017, 1932, 
 6 AV,  FLM123,  04/08/2017, 4218, 
 23 ST,  FM,  04/08/2017, 5466, 
 CANAL ST,  JNQRZ6W,  04/08/2017, 38840, 
 1 AV,  L,  04/08/2017, 14773, 
 57 ST-7 AV,  NQRW,  04/08/2017, 19088, 
 23 ST,  NRW,  04/08/2017, 14564, 
 RECTOR ST,  NRW,  04/08/2017, 3875, 
 59 ST,  456NQRW,  04/09/2017, 16483, 
 181 ST,  A,  04/09/2017, 5833, 
 181 ST,  A,  04/09/2017, 5833, 
 DYCKMAN ST,  A,  04/09/2017, 3853, 
 CHAMBERS ST,  ACE23,  04/09/2017, 7859, 
 14 ST,  ACEL,  04/09/2017, 9009, 
 103 ST,  BC,  04/09/2017, 2462, 
 103 ST,  BC,  04/09/2017, 2462, 
 72 ST,  BC,  04/09/2017, 6839, 
 86 ST,  BC,  04/09/2017, 4329, 
 96 ST,  BC,  04/09/2017, 4079, 
 CATHEDRAL PKWY,  BC,  04/09/2017, 4180, 
 155 ST,  C,  04/09/2017, 1604, 
 6 AV,  FLM123,  04/09/2017, 3190, 
 23 ST,  FM,  04/09/2017, 4088, 
 CANAL ST,  JNQRZ6W,  04/09/2017, 31591, 
 1 AV,  L,  04/09/2017, 11968, 
 57 ST-7 AV,  NQRW,  04/09/2017, 16804, 
 23 ST,  NRW,  04/09/2017, 11183, 
 RECTOR ST,  NRW,  04/09/2017, 2951, 
 59 ST,  456NQRW,  04/10/2017, 36994, 
 181 ST,  A,  04/10/2017, 9596, 
 181 ST,  A,  04/10/2017, 9596, 
 DYCKMAN ST,  A,  04/10/2017, 6110, 
 CHAMBERS ST,  ACE23,  04/10/2017, 25362, 
 14 ST,  ACEL,  04/10/2017, 15623, 
 103 ST,  BC,  04/10/2017, 4236, 
 103 ST,  BC,  04/10/2017, 4236, 
 72 ST,  BC,  04/10/2017, 8939, 
 86 ST,  BC,  04/10/2017, 9438, 
 96 ST,  BC,  04/10/2017, 8677, 
 CATHEDRAL PKWY,  BC,  04/10/2017, 6724, 
 155 ST,  C,  04/10/2017, 2326, 
 6 AV,  FLM123,  04/10/2017, 4695, 
 23 ST,  FM,  04/10/2017, 24909, 
 CANAL ST,  JNQRZ6W,  04/10/2017, 45984, 
 1 AV,  L,  04/10/2017, 16491, 
 57 ST-7 AV,  NQRW,  04/10/2017, 28390, 
 23 ST,  NRW,  04/10/2017, 19929, 
 RECTOR ST,  NRW,  04/10/2017, 6437, 
 59 ST,  456NQRW,  04/11/2017, 37620, 
 181 ST,  A,  04/11/2017, 9761, 
 181 ST,  A,  04/11/2017, 9761, 
 DYCKMAN ST,  A,  04/11/2017, 6369, 
 CHAMBERS ST,  ACE23,  04/11/2017, 26414, 
 14 ST,  ACEL,  04/11/2017, 16732, 
 103 ST,  BC,  04/11/2017, 4482, 
 103 ST,  BC,  04/11/2017, 4482, 
